,word,y1,y2
1061,throughout,,
1062,april,,
1063,consider,,
1064,larger,,
1065,amount,,
1066,low,,
1067,baselin,,
1068,rein,,
1069,anybodi,,
1070,certainli,,
1071,scale,,
1072,distant,,
1073,commit,,
1074,dose,,
1075,abund,,
1076,precaut,,
1077,assum,,
1078,signific,,
1079,element,,
1080,outbreak,,
1081,sure,,
1082,relev,,
1083,immunogen,,
1084,necessarili,,
1085,depend,,
1086,conceiv,,
1087,formal,,
1088,caution,,
1089,least,,
1090,proof,,
1091,immun,,
1092,cell,,
1093,dynam,,
1094,israel,,
1095,uae,,
1096,emir,,
1097,power,,
1098,region,,
1099,muhammad,,
1100,tremend,,
1101,bibi,,
1102,earli,,
1103,relationship,,
1104,fantast,,
1105,surpris,,
1106,bahrain,,
1107,readi,,
1108,seriou,,
1109,excus,,
1110,pleas,,
1111,road,,
1112,five,,
1113,frankli,,
1114,thought,,
1115,respect,['authority.virtue'],['authority.virtue']
1116,immedi,,
1117,along,,
1118,tire,,
1119,big,,
1120,guess,,
1121,period,,
1122,activ,,
1123,easi,,
1124,fought,,
1125,anymor,,
1126,plu,,
1127,tough,,
1128,gdp,,
1129,sanction,,
1130,probabl,,
1131,russia,,
1132,sleepi,,
1133,own,,
1134,till,,
1135,help,,
1136,rich,,
1137,obvious,,
1138,negoti,,
1139,disrespect,['authority.vice'],['authority.vice']
1140,badli,,
1141,appropri,,
1142,king,,
1143,saudi,,
1144,arabia,,
1145,convers,,
1146,gentleman,,
1147,crown,,
1148,princ,,
1149,stride,,
1150,blood,,
1151,sand,,
1152,kill,['care.vice'],['care.vice']
1153,nobodi,,
1154,went,,
1155,backdoor,,
1156,door,,
1157,palestinian,,
1158,absolut,,
1159,fair,['fairness.virtue'],['fairness.virtue']
1160,equip,,
1161,ambassador,,
1162,ron,,
1163,light,,
1164,huh,,
1165,beauti,,
1166,ceremoni,,
1167,chri,,
1168,simpli,,
1169,phenomen,,
1170,academ,,
1171,biggest,,
1172,endors,,
1173,notr,,
1174,dame,,
1175,plenti,,
1176,outstand,,
1177,professor,,
1178,student,,
1179,therefor,,
1180,knowingli,,
1181,otherwis,,
1182,faster,,
1183,merrick,,
1184,garland,,
1185,revers,,
1186,hundr,,
1187,pre,,
1188,exist,,
1189,condit,,
1190,okay,,
1191,ginsburg,,
1192,strongli,,
1193,total,,
1194,wrong,['moral'],['moral']
1195,extinguish,,
1196,proper,['moral'],['moral']
1197,healthcar,,
1198,late,,
1199,draw,,
1200,ban,,
1201,heavili,,
1202,europ,,
1203,ballot,,
1204,debat,,
1205,symbol,,
1206,drug,,
1207,price,,
1208,favor,,
1209,courag,,
1210,pharma,,
1211,insulin,,
1212,destroy,['care.vice'],['care.vice']
1213,cost,,
1214,cheap,,
1215,water,,
1216,prescript,,
1217,allow,,
1218,buy,,
1219,paid,,
1220,tini,,
1221,fraction,,
1222,berni,,
1223,sander,,
1224,manifesto,,
1225,social,,
1226,medicin,,
1227,lost,,
1228,obamacar,,
1229,away,,
1230,mandat,,
1231,guarante,,
1232,listen,,
1233,run,,
1234,blame,,
1235,matter,,
1236,disast,,
1237,expens,,
1238,premium,,
1239,rid,,
1240,cheaper,,
1241,wide,,
1242,person,,
1243,fault,,
1244,india,,
1245,exactli,,
1246,straight,,
1247,xenophob,,
1248,terribl,,
1249,fauci,,
1250,oh,,
1251,gown,,
1252,mask,,
1253,ventil,,
1254,fewer,,
1255,sick,['sanctity.vice'],['sanctity.vice']
1256,fake,,
1257,bad,['moral'],['moral']
1258,swine,,
1259,flu,,
1260,h,,
1261,n,,
1262,chief,,
1263,staff,,
1264,shape,,
1265,regeneron,,
1266,eli,,
1267,lilli,,
1268,compar,,
1269,stuff,,
1270,deliv,,
1271,sean,,
1272,similar,,
1273,remdesivir,,
1274,pennsylvania,,
1275,tomorrow,,
1276,greatli,,
1277,walter,,
1278,reed,,
1279,reli,,
1280,talent,,
1281,john,,
1282,hopkin,,
1283,analyz,,
1284,hillari,,
1285,serious,,
